Equipo;ID;ID_365;Name365
Desconocido;-1;;
Aston Villa;1;109;aston-villa
Liverpool;2;;
Manchester City;3;110;manchester-city
Mónaco;4;;
Stade Brestois;5;;
Leverkusen;6;;
Inter;7;;
Sporting Lisboa;8;;
Arsenal;9;;
Barcelona;10;132;fc-barcelona
Dortmund;11;;
Real Madrid;12;131;real-madrid
Benfica;13;;
Juventus;14;;
LOSC;15;;
Feyenoord;16;;
Atalanta;17;;
Stuttgart;18;;
PSG;19;;
Celtic F. C.;20;;
Sparta Praha;21;;
Dinamo Zagreb;22;;
Bayern;23;;
Girona;24;;
Milan;25;;
Club Brujas;26;;
Atlético Madrid;27;;
PSV;28;;
Bolonia;29;;
Shakhtar;30;;
RB Leipzig;31;;
Sturm;32;;
Estrella Roja;33;;
RB Salzburg;34;;
Young Boys;35;;
Slovan Bratislava;36;;
Villarreal;37;;
Athletic;38;144;athletic-bilbao
Betis;39;;
R.C.D. Mallorca;40;142;mallorca
Osasuna;41;;
Rayo Vallecano;42;;
Sevilla;43;;
Celta de Vigo;44;;
Alavés;45;;
Real Sociedad;46;;
Leganés;47;;
Getafe;48;140;getafe
RCD Espanyol;49;136;espanyol
U. D. Las Palmas;50;;
Valladolid;51;;
Valencia C. F.;52;139;valencia
Chelsea;53;;
Brighton;54;;
Nottingham Forest;55;;
Tottenham;56;;
Brentford;57;;
Fulham;58;;
Bournemouth;59;;
Newcastle;60;;
West Ham;61;;
Manchester United;62;;
Leicester City;63;;
Everton;64;;
Crystal Palace;65;;
Ipswich;66;;
Wolves;67;;
Southampton;68;;
Napoli;69;;
Fiorentina;70;;
Lazio;71;;
Udinese;72;;
Torino;73;;
Roma;74;;
Empoli;75;;
Parma;76;;
Hellas Verona;77;;
Como;78;;
Cagliari;79;;
Monza;80;;
Venezia;81;;
Lecce;82;;
Genoa;83;;
Anderlecht;84;;
Ajax;85;;
Galatasaray;86;;
Frankfurt;87;;
Midtjylland;88;;
Bodø/Glimt;89;;
Lyon;90;465;lyon
Rangers;91;;
Olympiacos;92;;
FCSB;93;;
Fenerbahçe;94;;
Porto;95;;
Slavia Praga;96;;
Hoffenheim;97;;
Viktoria Plzeň;98;;
Elfsborg;99;;
Ferencváros;100;;
AZ;101;;
Malmö;102;;
Braga;103;;
Beşiktaş;104;;
Twente;105;;
Union Saint-Gilloise;106;;
PAOK;107;;
Rigas FS;108;;
Niza;109;;
Ludogorets;110;;
M. Tel-Aviv;111;;
Dinamo;112;;
Qarabağ;113;;
Racing de Santander;114;;
Levante;115;;
Mirandés;116;;
Real Zaragoza;117;;
Castellón;118;;
Granada;119;;
Sporting Gijón;120;;
Real Oviedo;121;;
S. D. Huesca;122;;
Elche C. F.;123;;
Eibar;124;;
Málaga;125;;
Almería;126;;
Albacete;127;;
Córdoba;128;;
Burgos;129;;
Cádiz;130;;
CD Eldense;131;;
Racing Ferrol;132;;
La Coruña;133;;
Tenerife;134;;
Cartagena;135;;
Legia de Varsovia;136;;
Lugano;137;;
Guimarães;138;;
Hearts;139;;
Jagiellonia Białystok;140;;
Rapid Viena;141;;
Heidenheim;142;;
Shamrock Rovers;143;;
Borac;144;;
Cercle Brugge;145;;
Celje;146;;
Pafos;147;;
Molde FK;148;;
Omonia;149;;
Olimpija Ljubljana;150;;
Noah;151;;
The New Saints;152;;
Gent;153;;
FC Astana;154;;
Víkingur;155;;
HJK;156;;
Djurgården;157;;
København;158;;
APOEL FC;159;;
LASK;160;;
Panathinaikos;161;;
Dinamo Minsk;162;;
Mladá Boleslav;163;;
TSC;164;;
Istanbul BB;165;;
Petrocub;166;;
St Gallen;167;;
Larne;168;;
FC Union Berlin;169;;
Friburgo;170;;
Werder Bremen;171;;
Mönchengladbach;172;;
Augsburgo;173;;
Mainz 05;174;;
Wolfsburg;175;;
St. Pauli;176;;
KSV Holstein;177;;
Bochum;178;;
Düsseldorf;179;;
Hannover 96;180;;
Paderborn;181;;
Karlsruher;182;;
Hamburg;183;;
Hertha Berlin;184;;
SV Elversberg;185;;
Nürnberg;186;;
1. FC Magdeburg;187;;
1. FCK;188;;
Greuther Fürth;189;;
Colonia;190;;
SV Darmstadt 98;191;;
Preußen Münster;192;;
SSV Ulm Fußball;193;;
Schalke 04;194;;
Eintracht Braunschweig;195;;
Jahn Regensburg;196;;
Fluminense;197;;
Colo-Colo;198;;
Cerro;199;;
Alianza Lima;200;;
São Paulo;201;;
Talleres;202;;
Barcelona SC;203;;
Cobresal;204;;
The Strongest;205;;
Grêmio;206;;
Huachipato;207;;
Estudiantes;208;;
Junior;209;;
Botafogo;210;;
LDU Quito;211;;
Universitario;212;;
Bolívar;213;;
Flamengo;214;;
Palestino;215;;
Millonarios;216;;
Palmeiras;217;;
San Lorenzo;218;;
Independiente del Valle;219;;
Atlético Mineiro;220;;
Peñarol;221;;
Rosario Central;222;;
Caracas;223;;
River Plate;224;;
Nacional;225;;
Libertad;226;;
Deportivo Táchira;227;;
Racing Club Grasse;228;;
Le Puy Foot 43 Auvergne;229;;
Groupement football de l'Albanais 74;230;;
Hyères Football Club;231;;
Sporting Club Toulon;232;;
AS Nancy Lorraine;233;;
Concarneau;234;;
Boulogne;235;;
US Orléans;236;;
Valenciennes;237;;
FC Bassin d'Arcachon;238;;
Union sportive Colomiers football;239;;
Canet Roussillon Football Club;240;;
Aviron Bayona;241;;
Alberes Argelès;242;;
Birmingham City;243;;
Wycombe Wanderers;244;;
Wrexham;245;;
Mansfield;246;;
Lincoln City;247;;
Bolton Wanderers;248;;
Huddersfield Town;249;;
Barnsley;250;;
Reading;251;;
Stockport County;252;;
Exeter City;253;;
Charlton;254;;
Peterborough United;255;;
Rotherham;256;;
Stevenage F. C.;257;;
Blackpool;258;;
Bristol Rovers;259;;
Northampton Town;260;;
Wigan;261;;
Leyton Orient F.C.;262;;
Cambridge;263;;
Crawley Town;264;;
Shrewsbury Town;265;;
Burton Albion;266;;
Estradense;267;;
Sarriana;268;;
UD Ourense;269;;
Celta C;270;;
Arosa;271;;
Silva;272;;
Noia;273;;
Valladares;274;;
Racing Villalbés;275;;
Polvorín;276;;
Viveiro CF;277;;
Alondras;278;;
Boiro;279;;
Somozas;280;;
Barbadás;281;;
Betanzos;282;;
Villalonga;283;;
Arteixo;284;;
Covadonga;285;;
Real Oviedo B;286;;
Sporting Gijón B;287;;
Caudal;288;;
Real Titánico;289;;
L'Entregu;290;;
Lenense;291;;
Lealtad;292;;
Avilés Stadium;293;;
Mosconia;294;;
Urraca;295;;
