Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marcin Bułka-Niza;Mohamed Abdelmonem-Niza;Youssouf Ndayishimiye-Niza;Melvin Bard-Niza;Jonathan Clauss-Niza;Hicham Boudaoui-Niza;Pablo Rosario-Niza;Morgan Sanson-Niza;Ali Abdi-Niza;Badredine Bouanani-Niza;Gaëtan Laborde-Niza;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jérémie Boga-Niza;Moïse Bombito-Niza;Dante Bonfim-Niza;Baptiste Santamaria-Niza;Evann Guessand-Niza;Momo Cho-Niza;Tom Louchet-Niza;Sofiane Diop-Niza;Maxime Dupé-Niza;Antoine Mendy-Niza;Yaël Nandjou-Niza;Issiaga Camara-Niza;Farès Bousnina-Niza;Youssoufa Moukoko-Niza;Tanguy Ndombélé-Niza;Billal Brahimi-Niza;Jean-Clair Todibo-Niza;Khéphren Thuram-Niza;Alexis Claude-Maurice-Niza;Jordan Lotomba-Niza;Terem Moffi-Niza;Romain Perraud-Niza;Ayoub Amraoui-Niza;Reda Belahyane-Niza;Youcef Atal-Niza;Kasper Schmeichel-Niza;Alexis Beka Beka-Niza;Ross Barkley-Niza;Aaron Ramsey-Niza;Nicolas Pépé-Niza;Mario Lemina-Niza;Joe Bryan-Niza
2025-05-10;Niza;2;2;0;109;768;Rennes;1;1;14;10;6;4;0.49;0.51;426;0.81;13;5;1;1;0;0;5;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1;0.051;0.0769230769230769;345;0.0376811594202898;704.0816326530612;0.3571428571428571;10.20408163265306;4;-0.02;4;0;8;0.0328638497652582;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-02;Niza;2;2;9;109;766;Reims;2;2;8;16;2;3;0.55;0.45;481;0.82;14;21;2;2;0;0;5;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.028125;0.1428571428571428;394;0.0355329949238578;716.3636363636363;0.625;9.09090909090909;-8;0.1;2;0;-7;0.0166320166320166;0.125;0.55;5.0;1;0;1;1;0;0;0;1;0.125;0.5;0.002079002079002;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-25;Niza;2;2;0;109;19;PSG;1;3;7;32;3;13;0.24;0.76;249;0.76;11;9;1;3;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;17;0.02375;0.0909090909090909;189;0.0582010582010582;787.5;0.0;0.0;-25;-0.52;-17;-2;2;0.0281124497991967;0.4285714285714285;0.08;0.0;1;2;3;1;0;0;1;0;0.4285714285714285;1.0;0.0120481927710843;2.333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Niza;2;17;4;109;771;Angers;1;1;22;6;8;3;0.54;0.46;539;0.89;10;8;1;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;2;0.0766666666666666;0.1;480;0.0208333333333333;888.8888888888888;0.1818181818181818;7.4074074074074066;16;0.08;2;0;2;0.0408163265306122;0.0909090909090909;0.27;2.0;1;1;2;1;0;0;0;1;0.0909090909090909;0.25;0.0037105751391465;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Niza;2;17;17;109;767;Racing de Estrasburgo;2;1;23;11;6;4;0.53;0.47;522;0.85;8;5;2;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2;0.0427272727272727;0.25;444;0.018018018018018;837.7358490566037;0.391304347826087;16.9811320754717;12;0.06;7;1;3;0.0440613026819923;0.0869565217391304;0.265;4.5;1;1;2;0;1;0;1;0;0.0869565217391304;0.3333333333333333;0.003831417624521;11.5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;Niza;2;17;6;109;769;Nantes;1;1;21;8;9;4;0.77;0.23;669;0.87;9;14;1;1;0;0;11;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.02875;0.1111111111111111;582;0.0154639175257731;755.8441558441558;0.5238095238095238;14.285714285714285;13;0.54;9;0;-5;0.0313901345291479;0.0476190476190476;0.77;11.0;1;0;1;0;0;1;0;1;0.0476190476190476;0.1111111111111111;0.0014947683109118;21.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Niza;2;6;1;109;4;Mónaco;5;3;9;17;4;6;0.42;0.58;321;0.81;14;17;4;3;1;0;4;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;7;0.0341176470588235;0.3571428571428571;260;0.0538461538461538;619.047619047619;0.4444444444444444;9.523809523809524;-8;-0.1599999999999999;-3;2;-3;0.02803738317757;0.1111111111111111;0.42;4.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.25;0.0031152647975077;9.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-14;Niza;2;6;9;109;770;Auxerre;2;3;20;10;6;4;0.52;0.48;436;0.83;14;18;1;3;1;0;7;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.048;0.1428571428571428;362;0.0386740331491712;696.1538461538461;0.35;13.461538461538462;10;0.04;4;-1;-4;0.0458715596330275;0.05;0.52;7.0;1;0;1;0;1;0;0;1;0.05;0.1666666666666666;0.0022935779816513;20.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Niza;2;17;3;109;90;Lyon;1;2;18;8;4;5;0.37;0.63;387;0.82;12;11;1;2;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2;0.07875;0.0833333333333333;317;0.0378548895899053;856.7567567567568;0.5;24.324324324324326;10;-0.26;7;-1;1;0.0465116279069767;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Niza;2;17;3;109;773;Saint-Étienne;1;2;16;12;9;3;0.37;0.63;404;0.81;11;10;1;2;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;3;0.0525;0.0909090909090909;327;0.0336391437308868;883.7837837837837;0.25;10.81081081081081;4;-0.26;1;-1;1;0.0396039603960396;0.1875;0.1233333333333333;1.3333333333333333;1;2;3;1;0;0;1;0;0.1875;0.3333333333333333;0.0074257425742574;5.333333333333333;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Niza;2;17;4;109;775;Montpellier;1;1;16;13;6;1;0.57;0.43;497;0.84;17;15;1;1;0;0;8;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;5;0.033076923076923;0.0588235294117647;417;0.0407673860911271;731.5789473684212;0.5;14.035087719298248;3;0.1399999999999999;3;0;2;0.0321931589537223;0.125;0.285;4.0;1;1;2;1;0;0;0;1;0.125;0.3333333333333333;0.0040241448692152;8.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Niza;2;17;7;109;774;Le Havre;1;2;9;14;3;4;0.51;0.49;470;0.87;16;14;0;2;1;0;2;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;6;0.0349999999999999;0.0625;409;0.0391198044009779;801.9607843137255;0.2222222222222222;3.92156862745098;-5;0.02;-4;-1;2;0.0191489361702127;0.3333333333333333;0.17;0.6666666666666666;2;1;3;1;0;0;1;0;0.3333333333333333;1.0;0.0063829787234042;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Niza;2;17;4;109;765;Lens;1;3;16;12;8;3;0.61;0.39;626;0.88;6;19;1;2;0;1;7;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.0325;0.1666666666666666;551;0.0108892921960072;903.2786885245902;0.4375;11.475409836065571;4;0.2199999999999999;4;-2;-13;0.0255591054313099;0.125;0.305;3.5;1;1;2;1;0;0;0;1;0.125;0.25;0.0031948881789137;8.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Niza;13;17;4;109;-1;Stade Briochin;1;2;14;10;3;4;0.62;0.38;498;0.8;12;9;1;2;0;0;11;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2;0.038;0.0833333333333333;398;0.0301507537688442;641.9354838709678;0.7857142857142857;17.741935483870968;4;0.24;9;-1;3;0.0281124497991967;0.0714285714285714;0.62;11.0;0;1;1;0;0;1;1;0;0.0714285714285714;0.3333333333333333;0.002008032128514;14.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Niza;2;17;17;109;772;Toulouse;2;2;13;15;3;4;0.46;0.54;437;0.83;20;20;2;2;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;7;0.036;0.1;363;0.0550964187327823;789.1304347826086;0.1538461538461538;4.3478260869565215;-2;-0.08;-5;0;0;0.0297482837528604;0.0769230769230769;0.46;2.0;1;0;1;0;1;0;1;0;0.0769230769230769;0.3333333333333333;0.0022883295194508;13.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Niza;5;17;0;109;89;Bodø/Glimt;4;0;16;18;3;7;0.45;0.55;428;0.86;10;5;4;0;0;0;5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;8;0.0305555555555555;0.4;368;0.0271739130434782;817.7777777777777;0.3125;11.11111111111111;-2;-0.1;-3;4;5;0.0373831775700934;0.0625;0.45;5.0;0;1;1;0;1;0;0;1;0.0625;0.3333333333333333;0.0023364485981308;16.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Niza;2;17;17;109;764;Marsella;1;1;14;18;5;6;0.29;0.71;279;0.76;12;9;1;1;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;12;0.0394444444444444;0.0833333333333333;212;0.0566037735849056;731.0344827586207;0.4285714285714285;20.6896551724138;-4;-0.42;-6;0;3;0.050179211469534;0.1428571428571428;0.145;3.0;1;1;2;1;0;0;0;1;0.1428571428571428;0.4;0.007168458781362;7.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-23;Niza;5;30;6;109;99;Elfsborg;1;2;22;9;6;1;0.69;0.31;626;0.89;7;5;1;2;0;0;9;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4;0.0344444444444444;0.1428571428571428;557;0.0125673249551166;807.2463768115942;0.4090909090909091;13.043478260869566;13;0.3799999999999999;5;-1;2;0.0351437699680511;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-17;Niza;2;3;3;109;15;LOSC;3;1;11;11;3;4;0.44;0.56;412;0.8;13;13;3;1;0;0;7;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.0509090909090909;0.2307692307692307;330;0.0393939393939393;750.0;0.6363636363636364;15.909090909090908;0;-0.12;0;2;0;0.0266990291262135;0.0909090909090909;0.44;7.0;1;0;1;0;0;1;1;0;0.0909090909090909;0.3333333333333333;0.0024271844660194;11.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
